title,averageRating
Marvellous Wreath,5.4
Gulliver in the Land of Giants,7.2
Gulliver en el país de los gigantes,7.2
Gulliver en el país de los gigantes,7.2
Henrettelsen,4.7
Capital Execution,4.7
Henrettelsen,4.7
Kit Carson,4.8
Kit Carson,4.8
Живот америчког ватрогасца,6.4
Vida de um Bombeiro Americano,6.4
アメリカ消防士の生活,6.4
Life of an American Fireman,6.4
Egy amerikai tűzoltó élete,6.4
A Vida de Um Bombeiro Americano,6.4
The Life of an American Fireman,6.4
Life of an American Fireman,6.4
Жизнь американского пожарного,6.4
Животът на един американски пожарникар,6.4
Mary Jane's Mishap,6.5
Το ατύχημα της Μαίρη Τζέιν,6.5
Η κακοτυχία της Μαίρη Τζέιν,6.5
メリー・ジェーンの災難,6.5
O Acidente de Mary Jane,6.5
"Mary Jane's Mishap; or, Don't Fool with the Paraffin",6.5
Mary Jane malőrje,6.5
Nieszczęśliwy wypadek Mary Jane,6.5
Mary Jane's Mishap,6.5
Злоключения Мэри Джейн,6.5
The Messenger Boy's Mistake,4.5
The Messenger Boy's Mistake,4.5
El melómano,6.8
Meloman,6.8
The Music Lover,6.8
Ο μελομανής,6.8
O melomanis,6.8
Le mélomane,6.8
O Melômano,6.8
A zenebolond,6.8
Меломан,6.8
The Melomaniac,6.8
The Music Lover,6.8
Le mélomane,6.8
N.Y. Fire Department Returning,4.0
New York City Fire Department,4.0
N.Y. Fire Department Returning,4.0
N.Y. Fire Department Returning,4.0
"Panorama of Riker's Island, N.Y.",4.4
"Panorama of Riker's Island, N.Y.",4.4
Rip Van Winkle,4.8
Рип Ван Винкль,4.8
Rip Van Winkle,4.8
Feernes Kongerige,7.3
The Kingdom of the Fairies,7.3
The Kingdom of the Fairies,7.3
В царстве фей,7.3
Le royaume des fées,7.3
The Kingdom of the Fairies,7.3
To vasilio ton neraidon,7.3
"Fairyland; or, the Kingdom of the Fairies",7.3
Das Königreich der Feen,7.3
O Reino das Fadas,7.3
Fairyland: A Kingdom of Fairies,7.3
Το βασίλειο των νεραϊδών,7.3
Au royaume des fées,7.3
The Fairyland,7.3
The Kingdom of the Fairies,7.3
A tündérkirályság,7.3
Paa Havsens Bund,7.3
The Sick Kitten,5.8
The Sick Kitten,5.8
The Little Doctor and the Sick Kitten,5.8
O Gatinho Doente,5.8
The Sick Kitten,5.8
Больной котёнок,5.8
A beteg kiscicus,5.8
"Uncle Tom's Cabin; or, Slavery Days",5.2
Uncle Tom's Cabin,5.2
Uncle Tom's Cabin,5.2
Хижина дяди Тома,5.2
La cabaña del tío Tom,5.2
Tamás bátya kunyhója,5.2
Η καλύβα του μπάρμπα-Θωμά,5.2
A Cabana do Pai Tomás,5.2
Uncle Tom's Cabin,6.2
Uncle Tom's Cabin,6.2
La cabaña del tío Tom,6.2
Vedd meg a cseresznyéd!,5.3
Rum vs. Cherries,5.3
Сам покупай себе черешню,5.3
Buy Your Own Cherries,5.3
Buy Your Own Cherries,5.3
Le coffre enchanté,5.1
Заколдованный сундук,5.1
Le coffre enchanté,5.1
The Bewitched Trunk,5.1
The Enchanted Trunk,5.1
The Great Train Robbery,6.8
Велика пљачка воза,6.8
The Great Train Robbery,6.8
Большое ограбление поезда,6.8
Büyük Tren Soygunu,6.8
Страна по ту сторону заката,6.9
A Terra Além do Pôr-do-Sol,6.9
The Land Beyond the Sunset,6.9
The Land Beyond the Sunset,6.9
Opening the Williamsburg Bridge,3.8
The Opening of the Williamsburg Bridge,3.8
Opening the Williamsburg Bridge,3.8
Anúncio Pessoal,4.8
Rendez-vous par annonce,4.8
Házassági hirdetés,4.8
Personal,4.8
Personal,4.8
Le pêcheur de perles,6.0
Le pêcheur de perles,6.0
The Pearl Fisherman,6.0
The Pearl Fisher,6.0
Down in the Deep,6.0
Railroad Smashup,5.8
Railroad Smashup,5.8
A Railway Tragedy,5.2
A Railway Tragedy,5.2
Rescued by Rover,6.6
Rescued by Rover,6.6
Спасена Ровером,6.6
O Resgate de Rover,6.6
"Rover, a kutya",6.6
Viaje a través de lo imposible,7.5
An Impossible Voyage,7.5
Podróż do krainy niemożliwości,7.5
Путешествие сквозь невозможное,7.5
The Voyage Across the Impossible,7.5
Viagem Através do Impossível,7.5
Cesta do nemozna,7.5
Rejsen gennem Firmamentet,7.5
Το απίστευτο ταξίδι,7.5
An Impossible Voyage,7.5
Le voyage à travers l'impossible,7.5
不可能を通る旅,7.5
Die Reise durch das Unmögliche,7.5
An Impossible Voyage,7.5
Le voyage à travers l'impossible,7.5
The Voyage Through the Impossible,7.5
Il viaggio attraverso l'impossibile,7.5
Voyage à travers l'impossible,7.5
The Impossible Voyage,7.5
Utazás a lehetetlenbe,7.5
Nemoguće putovanje,7.5
"Adventures of Sherlock Holmes; or, Held for a Ransom",4.6
Sherlock Holmes sidste Bedrift,4.6
Adventures of Sherlock Holmes,4.6
Adventures of Sherlock Holmes,4.6
Bohemios,4.1
Bohemios,4.1
En perukhistoria,6.3
La course à la perruque,6.3
Peruukista johtuneet seikkailut,6.3
La course à la perruque,6.3
La caza de la peluca,6.3
The Wig Chase,6.3
Jagten paa Parykken,6.3
Departure of Peary and the Roosevelt from New York,3.4
Departure of Peary and the Roosevelt from New York,3.4
Departure of Peary and the Roosevelt from New York,3.4
Departure of Peary for the North Pole,3.4
Chauffeur als Anfänger,5.6
The Inexperienced Chauffeur,5.6
Les débuts d'un chauffeur,5.6
Les débuts d'un chauffeur,5.6
La esméralda,6.4
Esmeralda,6.4
Esmeralda,6.4
Funeral of Hiram Cronk,4.5
Funeral of Hiram Cronk,4.5
L'hereu de ca'n Pruna,4.8
El heredero de casa Pruna,4.8
The Gallants of the Park,4.8
Los guapos del parque,4.8
Az elektromos szálloda,6.6
The Electric Hotel,6.6
Hôtel électrique,6.6
El hotel eléctrico,6.6
Электрический отель,6.6
Det elektriske Hotel,6.6
To ilektriko xenodochio,6.6
El hotel eléctrico,6.6
Hotel elettrico,6.6
Το ηλεκτρικό ξενοδοχείο,6.6
Клептоманка,5.7
The Kleptomaniac,5.7
A Cleptomaníaca,5.7
The Kleptomaniac,5.7
The Life of Charles Peace,6.3
The Life of Charles Peace,6.3
The Little Train Robbery,5.5
The Little Train Robbery,5.5
Маленькое ограбление поезда,5.5
The Little Train Robbery,5.5
Нью-Йоркское метро,5.8
In the N.Y. Subway,5.8
The Interboro Subway,5.8
A new york-i metró,5.8
"Interior N.Y. Subway, 14th St. to 42nd St.",5.8
New York Subway,5.8
"Interior N. Y. Subway, 14th Street to 42nd Street",5.8
New York Subway,5.8
Pendaison à Jefferson City,5.4
Pendaison à Jefferson City,5.4
Vešanje u Džeferson Sitiju,5.4
Hanging at Jefferson City,5.4
Pennsylvania Tunnel Excavation,4.1
Pennsylvania Tunnel Excavation,4.1
"Raffles, the Amateur Cracksman",6.2
Raffles,6.2
"The Adventures of Raffles, the Amateur Cracksman",6.2
"Raffles, the Amateur Cracksman",6.2
"Raffles, the Amateur Cracksman",6.2
The Wooing and Wedding of a Coon,6.7
The Wooing and Wedding of a Coon,6.7
A sofőr,6.7
The ? Motorist,6.7
Сумасшедший автомобилист,6.7
The Mad Motorist,6.7
The '?' Motorist,6.7
Questionmark Motorist,6.7
The '?' Motorist,6.7
The '?' Motorist,6.7
Anarkistens svigermor,4.9
The Anarchist's Mother-in-Law,4.9
Anarkistens svigermor,4.9
Italian Immigrants at Ellis Island,4.4
"Arrival of Immigrants, Ellis Island",4.4
"Arrival of Emigrants, Ellis Island",4.4
"Arrival of Immigrants, Ellis Island",4.4
Chr. IXs bisættelse,4.8
The Funeral of King Christian IX,4.8
Kong Christian IX's Bisættelse,4.8
Kong Christian d. IXs Bisættelse,4.8
Egy ínyenc álma,6.7
Dream of a Rarebit Fiend,6.7
Dream of a Rarebit Fiend,6.7
Сон любителя гренок с сыром,6.7
Dream of a Rarebit Fiend,6.7
Ædedolkens Drøm,6.7
Frederik VIIIs kroning,3.6
Frederik den 8.s proklamation,3.6
Proklamationen af Kong Frederik d. VIII,3.6
The Hand of the Artist,5.6
The Hand of the Artist,5.6
The Haunted Hotel,6.5
L'hôtel hanté,6.5
The Haunted Hotel,6.5
Kísértett szálloda,6.5
"The Haunted Hotel; or, The Strange Adventures of a Traveler",6.5
Das Spukhotel,6.5
Гостиница с привидениями,6.5
Комические фазы смешных лиц,6.3
Vicces arcok vicces fázisai,6.3
Humorous Phases of Funny Faces,6.3
Χιουμοριστικές φάσεις από αστεία πρόσωπα,6.3
Humorous Phases of Funny Faces,6.3
愉快な百面相,6.3
Valkoinen orja,5.1
Den hvide slavinde,5.1
L'Esclave Blanche,5.1
A escrava branca,5.1
Den hvide slavinde,5.1
Kathleen Mavourneen,4.6
Kathleen Mavourneen,4.6
Kathleen,4.6
Vild Vesten,5.0
The Life of a Cowboy,5.0
The Life of a Cowboy,5.0
The Night Before Christmas,6.2
The Night Before Christmas,6.2
Hanging Stockings on a Christmas Eve,6.2
Szenteste,6.2
Η νύκτα πριν από τα Χριστούγεννα,6.2
Les quatre cents farces du diable,6.8
The Merry Frolics of Satan,6.8
Czterysta żartów diabelskich,6.8
The 400 Tricks of the Devil,6.8
As Quatrocentas Farsas do Diabo,6.8
Les 400 farces du diable,6.8
Gli allegri inganni di Satana,6.8
Τα 400 χτυπήματα του Διαβόλου,6.8
Les quat' cents farces du diable,6.8
Die 400 Streiche des Teufels,6.8
Az ördög 400 csapása,6.8
Четыреста проделок дьявола,6.8
Les quatre cents coups du diable,6.8
San Francisco Disaster,3.9
San Francisco Disaster,3.9
The San Francisco Earthquake,6.8
The San Francisco Earthquake,6.8
Kelly bandájának története,6.0
Ned Kelly and His Gang,6.0
Priča o Kelijevoj bandi,6.0
The Story of the Kelly Gang,6.0
The Story of the Kelly Gang,6.0
The Story of the Kelly Gang,6.0
The Story of the Kelly Gang,6.0
Die Geschichte der Kelly Bande,6.0
The Story of the Kelly Gang,6.0
20000 lieues sous les mers,5.7
Deux cent mille lieues sous les mers,5.7
海底2万マイル,5.7
20000 λεύγαι υπό την θάλασσαν,5.7
Amid the Workings of the Deep,5.7
"20,000 Leagues Under the Sea",5.7
20000 лье под водой,5.7
20.000 milja pod morem,5.7
20000 mérfölddel a tenger alatt,5.7
Under the Seas,5.7
Le cauchemar d'un pêcheur,5.7
20.000 Léguas Submarinas,5.7
20000 λεύγες κάτω από τη θάλασσα,5.7
Ali Baba et les quarante voleurs,6.1
Ali Babá e os Quarenta Ladrões,6.1
Ali Baba et les quarante voleurs,6.1
Ali Baba and the Forty Thieves,6.1
Ali Baba og de 40 Røvere,6.1
Али-Баба и сорок разбойников,6.1
"An Awful Skate; or, the Hobo on Rollers",7.4
"An Awful Skate; or, The Hobo on Rollers",7.4
ベン・ハー,4.7
Ben Hur,4.7
Ben Hur,4.7
Бен-Гур,4.7
Ben Hur,4.7
Camille,5.2
The Lady with the Camellias,5.2
Kameliadamen,5.2
La dama de las camelias,5.2
Kameliadamen,5.2
Kamelianainen,5.2
La dama de las camelias,5.2
El ciego de la aldea,5.0
El ciego de la aldea,5.0
Der var engang,5.4
König Drosselbart,5.4
Der var engang,5.4
L'enfant prodigue,5.5
L'enfant prodigue,5.5
The Prodigal Son,5.5
Flugten fra seraillet,5.6
The Flight from the Seraglio,5.6
Flugten fra seraillet,5.6
Pako seraljista,5.6
Rosen,5.4
From the Rococo Times,5.4
Rosen,5.4
Fyrtøjet,4.9
Fyrtøjet,4.9
Wonderful Mirrors,5.0
The Magic Mirror,5.0
The Magic Mirror,5.0
Les glaces merveilleuses,5.0
Les glaces merveilleuses,5.0
Hamlet,5.1
"Hamlet, Prins af Danmark",5.1
"Hamlet, Prince of Denmark",5.1
Hamlet,5.1
Hamlet,5.1
Isbjørnejagten,3.8
Isbjørnejagt,3.8
Polar Bear Hunt,3.8
En isbjørnejagt,3.8
Lohengrin,5.8
Lohengrin,5.8
Den forlegne Lohengrin,5.8
Leijonanmetsästys,4.3
Löwenjagd,4.3
Løvejagten,4.3
Løvejagten paa Elleore,4.3
Lion Hunting,4.3
La Chasse au Lion,4.3
Lion Hunting,4.3
Løvejagten,4.3
Охота на львов,4.3
En ny hat til Madammen,5.5
En ny hat til Madammen,5.5
Ein Hut nach neuester Mode,5.5
Ein neuer Hut,5.5
Othello,4.8
Othello,4.8
Отело,4.8
Othello,4.8
Otello von Venedig,4.8
Otello,4.8
Otello,4.8
Otello,4.8
悲劇オセロー,4.8
Othello indstuderes,4.9
Отело,4.9
Othello,4.9
Othello,4.9
O Rapto de Uma Actriz,4.3
O Rapto de Uma Actriz,4.3
Le spectre rouge,6.5
The Red Spectre,6.5
Satanás se divierte,6.5
Το κόκκινο φάσμα,6.5
Красное привидение,6.5
The Red Spectre,6.5
Satan at Play,6.5
To kokkino fasma,6.5
Satan s'amuse,6.5
Le spectre rouge,6.5
A Diversão de Satã,6.5
Robbery Under Arms,4.3
Robbery Under Arms,4.3
Røverens brud,4.6
La mère du coupable,4.6
Røverens brud,4.6
Ryövärin morsian,4.6
The Robber's Sweetheart,4.6
Salaviinan polttajat,8.9
Lönnbrännare,8.9
Salaviinanpolttajat,8.9
The Moonshiners,8.9
That Fatal Sneeze,6.5
A végzetes tüsszentés,6.5
That Fatal Sneeze,6.5
Nysepulveret,6.5
Это роковое чихание,6.5
'Ostler Joe,5.6
'Ostler Joe,5.6
Приключения Долли,5.7
Dollie kalandjai,5.7
The Adventures of Dollie,5.7
Dollys Abenteuer,5.7
ドリーの冒険,5.7
Les aventures de Dollie,5.7
Adventures of Dollie,5.7
As Aventuras de Dollie,5.7
After Many Years,5.6
After Many Years,5.6
Amleto,2.9
Amleto,2.9
Hamlet,2.9
Hamlet,2.9
Hamlet,2.9
Amor que mata,5.0
Amor que mata,5.0
"Antony and Cleopatra, the Love Story of the Noblest Roman and the Most Beautiful Egyptian",3.9
Antony and Cleopatra,3.9
Antony and Cleopatra,3.9
Antony and Cleopatra,3.9
Zabójstwo księcia Gwizjusza,5.5
Die Ermordung des Herzogs von Guise,5.5
O Assassinato do Duque de Guise,5.5
L'assassinat du duc de Guise,5.5
L'assassinat du duc de Guise,5.5
O Assassinato do Duque de Guise,5.5
Duqueza de Guize,5.5
Guisen herttuan murha,5.5
Hertugen af Guises Mord,5.5
Ubistvo Vojvode od Giza,5.5
Убийство герцога де Гиза,5.5
Убийството на Дук дьо Гиз,5.5
La mort du duc de Guise,5.5
Guise herceg meggyilkolása,5.5
The Assassination of the Duke de Guise,5.5
ギーズ公の暗殺,5.5
At the Crossroads of Life,4.9
At the Crossroads of Life,4.9
Crossroads of Life,4.9
At the French Ball,4.9
At the French Ball,4.9
An Awful Moment,4.4
An Awful Moment,4.4
An Awful Moment,4.4
Ужасный момент,4.4
Balked at the Altar,4.7
Отказавшийся у алтаря,4.7
Balked at the Altar,4.7
The Bandit's Waterloo,5.2
The Bandit's Waterloo,5.2
Behind the Scenes: Where All Is Not Gold That Glitters,5.1
Behind the Scenes,5.1
Behind the Scenes,5.1
Betrayed by a Handprint,5.0
Предательские отпечатки,5.0
Betrayed by a Handprint,5.0
Betrayed by Hand Prints,5.0
Черная гадюка,4.6
The Black Viper,4.6
The Black Viper,4.6
La vipère noire,4.6
The Boston Tea Party,7.6
The Boston Tea Party,7.6
"The Boy Detective, or the Abductors Foiled",4.8
"The Boy Detective, or The Abductors Foiled",4.8
A Calamitous Elopement,4.4
Невероятный побег,4.4
Une déclaration difficile,4.4
A Calamitous Elopement,4.4
The Call of the Wild,4.9
The Call of the Wild,4.9
Le cauchemar de Fantoche,6.4
Living Blackboard,6.4
Le cauchemar de Fantoche,6.4
Кошмар у петрушки,6.4
The Puppet's Nightmare,6.4
Caught by Wireless,4.7
Caught by Wireless,4.7
The Christmas Burglars,5.4
The Christmas Burglars,5.4
Humanity Through the Ages,7.2
La civilisation à travers les âges,7.2
La civilisation à travers les âges,7.2
Classmates,4.1
Classmates,4.1
The Clubman and the Tramp,5.1
The Clubman and the Tramp,5.1
Concealing a Burglar,5.3
Concealing a Burglar,5.3
Concealing a Burglar,5.3
Corrida de toros con Antonio Fuentes,5.4
Bullfight with Antonio Fuentes,5.4
Corrida de toros con Antonio Fuentes,5.4
The Count of Monte Cristo,6.6
Greven fra Monte Christo,6.6
Der Graf von Monte Christo,6.6
El conde de Monte Cristo,6.6
The Count of Monte Cristo,6.6
The Count of Monte Cristo,6.6
The Count of Monte Cristo,6.6
Cupid's Pranks,4.9
Cupid's Pranks,4.9
As Travessuras do Cupido,4.9
The Death of Othello,5.7
Desdemona,5.7
Desdemona,5.7
The Devil,5.9
The Devil,5.9
La Dolores,5.6
La Dolores,5.6
Don Juan Tenorio,4.6
Don Juan Tenorio,4.6
Don Quijote,4.2
Don Quijote,4.2
Don Álvaro o la fuerza del sino,3.6
Don Álvaro o la fuerza del sino,3.6
The Fairylogue and Radio-Plays,5.0
The Fairylogue and Radio-Plays,5.0
The Fairylogue and Radio-Plays,5.0
Falsely Accused!,5.2
Falsely Accused!,5.2
Falsely Accused!,5.2
A Famous Escape,5.3
A Famous Escape,5.3
A Fantasy,6.9
Black and White,6.9
Fantazmagória,6.9
ファンタスマゴリ,6.9
A Fantasy,6.9
Фантасмагорія,6.9
Fantasmagoria,6.9
Фантасмагория,6.9
Fantasmagorie,6.9
Metamorphosis,6.9
Fantasmagorie,6.9
Φαντασμαγορία,6.9
Fantasmagorie,6.9
A Fantasy,6.9
The Fatal Hour,5.4
The Fatal Hour,5.4
Отец входит в игру,5.1
Father Gets in the Game,5.1
Father Gets in the Game,5.1
The Feud and the Turkey,5.5
The Feud and the Turkey,5.5
The Feud and the Turkey,5.5
For Love of Gold,6.2
For Love of Gold,6.2
Amor ao Ouro,6.2
For a Wife's Honor,6.1
For a Wife's Honor,6.1
The Girl and the Outlaw,4.8
The Girl and the Outlaw,4.8
The Greaser's Gauntlet,5.6
The Greaser's Gauntlet,5.6
The Guerrilla,4.3
The Guerrilla,4.3
The Guerrilla,4.3
The Heart of O Yama,4.7
The Heart of O Yama,4.7
The Helping Hand,5.5
The Helping Hand,5.5
The Scarlet Woman,5.5
Her First Adventure,5.0
Her First Adventure,5.0
The Humpty Dumpty Circus,5.3
The Humpty Dumpty Circus,5.3
The Barbarian Ingomar,4.6
"Ingomar, the Barbarian",4.6
"Ingomar, the Barbarian",4.6
The Ingrate,4.4
The Ingrate,4.4
The Invisible Fluid,4.3
The Invisible Fluid,4.3
Julius Caesar,5.5
"Julius Caesar, an Historical Tragedy",5.5
Julius Caesar,5.5
The King's Messenger,5.0
"The King's Messenger, a Story of Love, Intrigue and Heroism",5.0
The King's Messenger,5.0
Macbeth,5.9
Macbeth,5.9
Макбет,5.9
"Macbeth, Shakespeare's Sublime Tragedy",5.9
Macbeth,5.9
マクベス,5.9
The Man and the Woman,6.0
The Man and the Woman,6.0
Maria Marten,4.7
The Red Barn Mystery,4.7
The Red Barn Crime,4.7
Maria Marten,4.7
The Merchant of Venice,5.3
The Merchant of Venice,5.3
Købmanden i Venedig,5.3
Mixed Babies,4.6
Mixed Babies,4.6
Monday Morning in a Coney Island Police Court,5.5
Monday Morning in a Coney Island Police Court,5.5
Coney Island Police Court,5.5
Из-за денег,5.9
Money Mad,5.9
Money Mad,5.9
Mr. Jones at the Ball,5.8
Mr. Jones at the Ball,5.8
Mrs. Jones Entertains,4.5
Mrs. Jones Entertains,4.5
"Old Isaacs, the Pawnbroker",5.9
"Old Isaacs, the Pawnbroker",5.9
Othello,4.0
Jealousy,4.0
Othello,4.0
Over the Hill to the Poorhouse,4.8
Over the Hill to the Poorhouse,4.8
The Paris Hat,7.9
The Paris Hat,7.9
El pastorcito de Torrente,6.2
El pastorcito de Torrente,6.2
The Pirate's Gold,5.0
The Pirate's Gold,5.0
The Planter's Wife,4.8
The Planter's Wife,4.8
Malasia,4.8
The Princess in the Vase,6.2
The Princess in the Vase,6.2
The Reckoning,7.1
The Reckoning,7.1
The Red Girl,5.1
The Reg Girl,5.1
The Red Girl,5.1
The Reg Girl,5.1
L'enfant et le peau-rouge,5.4
The Redman and the Child,5.4
The Red Man and the Child,5.4
鷲の巣から救われて,5.8
Rescued from an Eagle's Nest,5.8
Örnnästet,5.8
Rescued from an Eagle's Nest,5.8
I Ørnekløer,5.8
Kimentés a sas fészkéből,5.8
Спасенный из орлиного гнезда,5.8
O Resgate no Ninho da Águia,5.8
Роман еврейки,5.1
Romance of a Jewess,5.1
Romance of a Jewess,5.1
"Romeo and Juliet, a Romantic Story of the Ancient Feud Between the Italian Houses of Montague and Capulet",7.2
ロミオとジュリエット,7.2
Romeo and Juliet,7.2
Romeo y Julieta,7.2
Romeo and Juliet,7.2
The Dream of an Opium Fiend,5.7
Le rêve d'un fumeur d'opium,5.7
Сон курильщика опиума,5.7
Le rêve d'un fumeur d'opium,5.7
O Pesadelo do Escultor,5.3
The Sculptor's Nightmare,5.3
The Sculptor's Nightmare,5.3
Sherlock Holmes i Livsfare,6.1
Sherlock Holmes i Livsfare,6.1
Raffles' Flugt fra Fængslet,6.1
Sherlock Holmes,6.1
Sherlock Holmes I,6.1
Sherlock Holmes II,7.6
Sherlock Holmes II: Raffles Escaped from Prison,7.6
Sherlock Holmes II,7.6
A Smoked Husband,5.1
A Smoked Husband,5.1
Песнь о рубашке,5.6
The Song of the Shirt,5.6
The Song of the Shirt,5.6
Az ing dala,5.6
The Stolen Jewels,6.0
The Stolen Jewels,6.0
Фантастический тамбурин,5.3
Le tambourin fantastique,5.3
Le tambourin fantastique,5.3
Knight of Black Art,5.3
Укротяване на опърничавата,5.4
Ukroćena goropad,5.4
Makrancos hölgy,5.4
Укрощение строптивой,5.4
The Taming of the Shrew,5.4
The Taming of the Shrew,5.4
La fierecilla domada,5.4
The Tavern Keeper's Daughter,5.6
The Tavern Keeper's Daughter,5.6
The Tavern Keeper's Daughter,5.6
The Test of Friendship,5.8
The Test of Friendship,5.8
The Test of Friendship,5.8
Trop crédules,7.5
Susceptible Youth,7.5
Susceptible Youth,7.5
Trop crédules,7.5
Die letzten Tage von Pompeji,5.6
Ostatnie dni Pompejów,5.6
Последните дни на Помпей,5.6
La destruccion de Pompeya,5.6
Pompeis sidste page,5.6
De laatste dagen van Pompeï,5.6
Gli ultimi giorni di Pompei,5.6
Pompeji utolsó napjai,5.6
Les derniers jours de Pompéi,5.6
The Last Days of Pompeii,5.6
Gli ultimi giorni di Pompei,5.6
The Valet's Wife,6.0
The Valet's Wife,6.0
The Valet's Wife,6.0
"The Valet's Wife, or, Deceiving the Uncle",6.0
The Vaquero's Vow,5.0
The Vaquero's Vow,5.0
The Viking's Daughter: The Story of the Ancient Norsemen,6.3
The Viking's Daughter: The Story of the Ancient Norsemen,6.3
The Viking's Daughter,6.3
A Visit to the Seaside,8.3
"A Visit to the Seaside at Brighton Beach, England",8.3
A Visit to the Seaside,8.3
When Knights Were Bold,4.1
When Knights Were Bold,4.1
Where the Breakers Roar,5.2
Where the Breakers Roar,5.2
A Woman's Way,4.9
A Woman's Way,4.9
The Zulu's Heart,5.0
The Zulu's Heart,5.0
The Zulu's Heart,5.0
Der Luftkrieg der Zukunft,6.1
The Aerial Torpedo,6.1
The Airship Destroyer,6.1
The Airship Destroyer,6.1
The Battle in the Clouds,6.1
Истребитель дирижаблей,6.1
The Airship Destroyer,6.1
And a Little Child Shall Lead Them,4.5
And a Little Child Shall Lead Them,4.5
Andreas Hofer,4.1
Zu Mantua in Banden,4.1
Andreas Hofer,4.1
Andreas Hofer,4.1
At the Altar,5.4
At the Altar,5.4
На алтаре,5.4
An Attempt to Smash a Bank,4.5
An Attempt to Smash a Bank,4.5
The Awakening,5.1
A Bride to Order,5.1
The Awakening,5.1
Threads of Fate,4.9
A Baby's Shoe,4.9
A Baby's Shoe,4.9
Barnet som Velgører,6.5
The Child Benefactor,6.5
Barnet som Velgører,6.5
Lapsi hyväntekijänä,6.5
The Better Way,4.4
The Better Way,4.4
Bill Sharkey's Last Game,6.1
Bill Sharkey's Last Game,6.1
Bill Sharkey's Revenge,6.1
Última Cartada,6.1
The Brahma Diamond,4.4
The Brahma Diamond,4.4
The Broken Locket,4.5
The Broken Locket,4.5
Et budskab til Napoleon paa Elba,4.3
A Message to Napoleon,4.3
Et budskab til Napoleon paa Elba,4.3
A Burglar's Mistake,5.1
A Burglar's Mistake,5.1
Richelieu or the Cardinal's Conspiracy,4.6
The Cardinal's Conspiracy,4.6
The Cardinal's Conspiracy,4.6
A Change of Heart,4.2
A Change of Heart,4.2
The Children's Friend,4.1
The Children's Friend,4.1
O Amigo das Crianças,4.1
Choosing a Husband,3.9
Choosing a Husband,3.9
"Comata, the Sioux",5.2
Siouxindianeren Comata,5.2
"Comata, the Sioux",5.2
"Comata, the Sioux",5.2
Доверие,5.3
Confidence,5.3
Confidence,5.3
A Convict's Sacrifice,4.1
A Convict's Sacrifice,4.1
Нить судьбы,5.2
The Cord of Life,5.2
The Cord of Life,5.2
Storspekulanten,6.6
Le spéculateur en grains,6.6
小麦の買い占め,6.6
Arbetare contra överklassen,6.6
Спекуляция пшеницей,6.6
O Preço do Trigo,6.6
Les spéculateurs,6.6
A Corner in Wheat,6.6
A Corner in Wheat,6.6
A gabonatőzsde spekulánsai,6.6
A Corner in Wheat,6.6
Spekulant zbożowy,6.6
The Country Doctor,6.4
Сельский врач,6.4
Wiejski lekarz,6.4
Il medico di campagna,6.4
The Country Doctor,6.4
The Cricket on the Hearth,4.8
The Cricket on the Hearth,4.8
Каминный сверчок,4.8
Os Crimes de Diogo Alves,4.7
Os Crimes de Diogo Alves,4.7
The Criminal Hypnotist,5.1
The Criminal Hypnotist,5.1
Карниз для штор,5.6
The Curtain Pole,5.6
The Curtain Pole,5.6
The Day After,5.2
Dagen derpaa,5.2
The Day After,5.2
The Death Disc: A Story of the Cromwellian Period,5.2
The Death Disc: A Story of the Cromwellian Period,5.2
The Death Disc,5.2
The Death of Ivan the Terrible,6.6
Smert Ioanna Groznogo,6.6
Смерть Иоанна Грозного,6.6
Smert Ioanna Groznogo,6.6
The Deception,4.5
The Deception,4.5
Don Juans Hochzeit,5.6
Don Juan's Wedding,5.6
Der Herzenknicker,5.6
Don Juan heiratet,5.6
Don Juan heiratet,5.6
Don Juans Bryllup,5.6
Incident from Don Quixote,5.4
Don Quichotte,5.4
La toile d'araignée merveilleuse,5.4
La toile d'araignée merveilleuse,5.4
The Painting of a Miraculous Spider,5.4
The Drive for a Life,4.9
The Drive for a Life,4.9
Реформация пьяницы,5.6
Egy részeg megtérése,5.6
A Drunkard's Reformation,5.6
A Drunkard's Reformation,5.6
The Eavesdropper,5.2
The Eavesdropper,5.2
Edgar Allan Poe,5.9
Edgar Alan Po,5.9
Эдгар Аллан По,5.9
Edgar Allen Poe,5.9
Edgar Allan Poe,5.9
Eloping with Auntie,5.2
Eloping with Auntie,5.2
Eradicating Auntie,4.6
Eradicating Aunty,4.6
Eradicating Aunty,4.6
The Expiation,4.6
The Expiation,4.6
The Faded Lilies,4.5
The Faded Lilies,4.5
A Fair Exchange,4.9
A Fair Exchange,4.9
Faldgruben,4.4
Faldgruben,4.4
The Fascinating Mrs. Francis,5.6
The Fascinating Mrs. Francis,5.6
Fellow Clerks,5.7
Fellow Clerks,5.7
A Fool's Revenge,5.2
Kongen morer sig,5.2
A Fool's Revenge,5.2
A Fool's Revenge,5.2
Fools of Fate,5.7
Fools of Fate,5.7
Бахчисарайский фонтан,5.8
Bakchisarayskiy fontan,5.8
Fontanna w Bakczysaraju,5.8
The Fountain of Bakhchisarai,5.8
The French Duel,4.7
The French Duel,4.7
Amigo da Família,4.3
The Friend of the Family,4.3
The Friend of the Family,4.3
Свести счеты,4.6
Getting Even,4.6
Getting Even,4.6
The Gibson Girl,5.0
Богиня Гибсона,5.0
The Gibson Goddess,5.0
The Gibson Goddess,5.0
